categoria,nombre,pagina,id,enlace
Unknown,Constante de Kaprekar,aceptaelreto,100,https://www.aceptaelreto.com/problem/statement.php?id=100
Unknown,¿Es un árbol binario de búsqueda?,aceptaelreto,298,https://www.aceptaelreto.com/problem/statement.php?id=298
Unknown,Cociendo huevos,aceptaelreto,368,https://www.aceptaelreto.com/problem/statement.php?id=368
Unknown,Contando en la arena,aceptaelreto,369,https://www.aceptaelreto.com/problem/statement.php?id=369
Unknown,La 13-14,aceptaelreto,370,https://www.aceptaelreto.com/problem/statement.php?id=370
Unknown,Aburrimiento en las sobremesas,aceptaelreto,371,https://www.aceptaelreto.com/problem/statement.php?id=371
Unknown,La farsante de Mary Poppins,aceptaelreto,372,https://www.aceptaelreto.com/problem/statement.php?id=372
Unknown,Cubos visibles,aceptaelreto,373,https://www.aceptaelreto.com/problem/statement.php?id=373
Unknown,Criogenización,aceptaelreto,374,https://www.aceptaelreto.com/problem/statement.php?id=374
Unknown,Las dimensiones del puzzle,aceptaelreto,402,https://www.aceptaelreto.com/problem/statement.php?id=402
Unknown,Contar hasta el final,aceptaelreto,441,https://www.aceptaelreto.com/problem/statement.php?id=441